,name,life_expectancy,height,weight,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
0,Affenpinscher,13.5,10.25,8.5,3.0,3.0,3.0,3.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0
1,Afghan Hound,15.0,26.0,55.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0
2,Airedale Terrier,12.5,23.0,60.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0
3,Akita,12.0,27.0,100.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,5.0,3.0,4.0,2.0
4,Alaskan Klee Kai,14.5,27.0,100.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0
5,Alaskan Malamute,12.0,25.0,80.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0
6,American Bulldog,11.0,23.0,78.75,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0
7,American English Coonhound,11.5,25.0,55.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0
8,American Eskimo Dog,14.0,25.0,55.0,5.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0
9,American Foxhound,12.0,23.5,65.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0
10,American Hairless Terrier,15.0,14.0,14.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0
11,American Staffordshire Terrier,14.0,18.5,55.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,5.0,3.0,3.0,3.0
12,American Water Spaniel,12.0,16.5,35.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0
13,Anatolian Shepherd Dog,12.0,29.0,115.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,3.0
14,Appenzeller Sennenhund,13.5,20.5,59.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0
15,Australian Cattle Dog,14.0,19.0,42.5,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,1.0
16,Australian Kelpie,11.5,18.5,42.5,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,1.0
17,Australian Shepherd,13.5,21.5,52.5,5.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,5.0,5.0,3.0
18,Australian Terrier,13.0,10.5,17.5,5.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0
19,Azawakh,13.5,27.0,44.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0
20,Barbado da Terceira,13.0,21.25,54.5,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0
21,Barbet,13.0,21.75,50.0,5.0,5.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0
22,Basenji,13.5,17.0,23.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0
23,Basset Fauve de Bretagne,12.0,14.0,31.0,5.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0
24,Basset Hound,12.5,13.0,52.5,5.0,5.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0
25,Beagle,12.5,14.5,21.25,5.0,5.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0
26,Bearded Collie,13.0,21.5,50.0,5.0,5.0,3.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,5.0
27,Beauceron,11.0,26.5,90.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,5.0,3.0
28,Bedlington Terrier,13.5,16.25,20.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0
29,Berger Picard,12.5,24.5,60.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0
30,Bernese Mountain Dog,8.5,26.25,90.0,5.0,5.0,5.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0
31,Black Russian Terrier,11.0,28.5,105.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0
32,Black and Tan Coonhound,11.0,26.0,87.5,5.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0
33,Bloodhound,11.0,26.0,95.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,2.0,4.0,3.0,5.0
34,Bluetick Coonhound,11.5,24.5,61.25,3.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0
35,Boerboel,10.0,25.5,175.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0
36,Bohemian Shepherd,13.5,21.1,47.75,5.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0
37,Bolognese,13.0,11.0,7.25,3.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0
38,Border Collie,13.5,20.5,42.5,3.0,3.0,3.0,3.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,4.0
39,Border Terrier,13.5,13.5,13.5,5.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0
40,Borzoi,11.5,30.25,81.25,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0
41,Boston Terrier,12.0,16.0,18.5,5.0,4.0,2.0,2.0,1.0,1.0,5.0,5.0,3.0,4.0,4.0,2.0
42,Bouvier des Flandres,11.0,26.0,90.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0
43,Boxer,11.0,24.0,65.0,5.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0
44,Boykin Spaniel,12.5,16.75,32.5,5.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0
45,Bracco Italiano,12.0,24.0,72.5,4.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,2.0
46,Braque Francais Pyrenean,13.5,20.75,47.5,5.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0
47,Braque du Bourbonnais,11.0,20.75,44.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,2.0
48,Briard,12.0,25.0,77.5,3.0,3.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0
49,Brittany,13.0,19.0,35.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,5.0,5.0,3.0
50,Broholmer,9.0,28.5,120.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0
51,Brussels Griffon,13.5,8.5,9.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0
52,Bull Terrier,12.5,21.5,60.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0
53,Bulldog,9.0,14.5,45.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,2.0
54,Bullmastiff,8.0,26.0,115.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,1.0
55,Cairn Terrier,14.0,10.0,13.5,3.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0
56,Canaan Dog,13.5,22.0,45.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,5.0
57,Cane Corso,10.5,26.25,99.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0
58,Carolina Dog,13.5,18.625,42.5,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
59,Caucasian Shepherd Dog,11.0,26.5,134.5,3.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,5.0,3.0,3.0,2.0
60,Cavalier King Charles Spaniel,13.5,12.5,15.5,5.0,5.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0
61,Central Asian Shepherd Dog,13.5,27.0,127.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,5.0,4.0,3.0,3.0
62,Cesky Terrier,13.5,11.5,19.0,5.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0
63,Chesapeake Bay Retriever,11.5,24.5,67.5,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0
64,Chihuahua,15.0,6.5,5.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,5.0
65,Chinook,13.5,25.0,65.0,5.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,5.0
66,Chow Chow,10.0,18.5,57.5,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0
67,Clumber Spaniel,11.0,19.0,70.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0
68,Coton de Tulear,17.0,10.5,11.25,5.0,5.0,2.0,4.0,1.0,1.0,5.0,4.0,3.0,4.0,3.0,1.0
69,Croatian Sheepdog,13.5,18.0,36.5,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,3.0
70,Curly-Coated Retriever,11.0,26.0,77.5,5.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0
71,Dachshund,14.0,8.5,24.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0
72,Dalmatian,12.0,21.5,57.5,3.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0
73,Dandie Dinmont Terrier,13.5,9.5,21.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0
74,Danish-Swedish Farmdog,12.0,13.5,17.5,5.0,5.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0
75,Doberman Pinscher,11.0,27.0,81.25,5.0,3.0,4.0,1.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0
76,Dogo Argentino,12.0,25.5,90.0,3.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0
77,Dogue de Bordeaux,6.5,23.27,130.0,3.0,3.0,4.0,1.0,5.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0
78,Drever,15.0,13.5,37.5,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0
79,Dutch Shepherd,12.5,23.0,58.5,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,2.0
80,English Cocker Spaniel,13.0,16.5,30.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0
81,English Foxhound,11.5,24.0,67.5,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,5.0
82,English Setter,12.0,26.0,61.25,4.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0
83,English Springer Spaniel,13.0,20.0,45.0,3.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,5.0,4.0,3.0
84,Entlebucher Mountain Dog,12.0,19.0,52.5,3.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,5.0,3.0,5.0,3.0
85,Estrela Mountain Dog,12.0,26.75,104.5,5.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,4.0,3.0,3.0
86,Eurasier,14.0,21.5,55.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0
87,Field Spaniel,12.5,18.0,42.5,5.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0
88,Finnish Lapphund,13.5,19.5,43.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0
89,Finnish Spitz,14.0,18.75,26.5,5.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0
90,Flat-Coated Retriever,9.0,23.75,65.0,5.0,5.0,3.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0
91,French Bulldog,11.0,12.0,23.0,5.0,4.0,3.0,1.0,3.0,1.0,5.0,5.0,3.0,4.0,3.0,1.0
92,French Spaniel,11.0,22.75,55.0,5.0,5.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,5.0,4.0,3.0
93,German Longhaired Pointer,13.0,25.0,67.5,5.0,4.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,5.0,4.0,3.0
94,German Pinscher,13.0,18.5,35.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,3.0
95,German Shepherd Dog,8.5,25.0,68.75,5.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0
96,German Shorthaired Pointer,11.0,24.0,57.5,5.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0
97,German Spitz,14.0,13.5,25.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,5.0,3.0,5.0
98,German Wirehaired Pointer,15.0,25.0,60.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,5.0,3.0
99,Giant Schnauzer,13.5,26.5,68.75,3.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0
100,Glen of Imaal Terrier,12.5,13.25,36.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0
101,Golden Retriever,11.0,23.5,65.0,5.0,5.0,4.0,2.0,2.0,1.0,5.0,4.0,3.0,5.0,3.0,1.0
102,Gordon Setter,12.5,25.5,62.5,3.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0
103,Grand Basset Griffon Vendéen,14.0,16.75,42.5,3.0,4.0,3.0,2.0,2.0,1.0,5.0,4.0,3.0,3.0,5.0,4.0
104,Great Dane,8.5,31.0,141.25,3.0,3.0,3.0,1.0,4.0,1.0,3.0,4.0,5.0,3.0,4.0,3.0
105,Great Pyrenees,11.0,29.5,100.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0
106,Greater Swiss Mountain Dog,9.5,27.0,112.5,5.0,3.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0
107,Greyhound,11.5,29.0,65.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0
108,Harrier,13.5,20.0,52.5,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,5.0
109,Havanese,15.0,10.0,10.0,5.0,5.0,2.0,3.0,1.0,1.0,5.0,5.0,3.0,4.0,3.0,4.0
110,Hokkaido,13.5,19.0,55.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0
111,Hovawart,12.0,25.5,77.5,4.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,4.0,3.0,1.0
112,Ibizan Hound,12.5,25.5,47.5,3.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,5.0,3.0
113,Icelandic Sheepdog,13.0,18.0,27.5,5.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0
114,Irish Red And White Setter,13.0,25.25,46.75,5.0,5.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0
115,Irish Setter,13.5,27.0,65.0,5.0,5.0,3.0,3.0,2.0,1.0,5.0,5.0,3.0,4.0,5.0,3.0
116,Irish Terrier,14.0,18.0,26.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0
117,Irish Water Spaniel,12.5,23.0,56.5,3.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,3.0,5.0,3.0,1.0
118,Irish Wolfhound,7.0,33.0,112.5,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,3.0,3.0,1.0
119,Italian Greyhound,14.5,14.0,10.5,3.0,5.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0
120,Jagdterrier,11.0,14.5,19.5,3.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0
121,Japanese Akitainu,13.5,26.25,65.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0
122,Japanese Chin,11.0,9.5,9.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0
123,Japanese Spitz,13.0,13.5,17.5,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0
124,Japanese Terrier,13.5,12.0,7.5,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0
125,Jindo,14.0,20.0,40.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0
126,Kai Ken,13.5,17.5,30.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0
127,Karelian Bear Dog,12.0,21.25,46.5,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0
128,Keeshond,13.5,18.0,40.0,5.0,5.0,3.0,3.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0
129,Kerry Blue Terrier,13.5,18.75,36.5,4.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,5.0,3.0,4.0,4.0
130,Kishu Ken,13.5,19.5,45.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0
131,Komondor,11.0,27.5,109.5,3.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0
132,Kuvasz,11.0,29.0,93.75,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0
133,Labrador Retriever,11.0,23.5,67.5,5.0,5.0,4.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0
134,Lagotto Romagnolo,16.0,18.0,29.625,3.0,5.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0
135,Lakeland Terrier,13.5,14.75,16.5,3.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0
136,Lancashire Heeler,13.5,11.0,13.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0
137,Lapponian Herder,12.0,19.0,70.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0
